area,"poly(dist, 2, raw = TRUE)",mean_mx30_grd,GeologicalOrigin,"poly(dist, 1, raw = TRUE)",model
1.2301144111599567,1.2301144111599567,NA,NA,NA,Anagenesis all islands
1.231106883483526,1.231106883483526,NA,NA,NA,Anagenesis all islands
1.2306364147882796,1.2306364147882796,NA,NA,NA,Anagenesis all islands
1.2291045795259974,1.2291045795259974,NA,NA,NA,Anagenesis all islands
1.2306745913690706,1.2306745913690706,NA,NA,NA,Anagenesis all islands
1.2307338977749942,1.2307338977749942,NA,NA,NA,Anagenesis all islands
1.2303559199684673,1.2303559199684673,NA,NA,NA,Anagenesis all islands
1.229947300398959,1.229947300398959,NA,NA,NA,Anagenesis all islands
1.230646641505036,1.230646641505036,NA,NA,NA,Anagenesis all islands
1.2307889344547884,1.2307889344547884,NA,NA,NA,Anagenesis all islands
1.2309605639241423,1.2309605639241423,NA,NA,NA,Anagenesis all islands
1.2315129541306913,1.2315129541306913,NA,NA,NA,Anagenesis all islands
1.2311786780679064,1.2311786780679064,NA,NA,NA,Anagenesis all islands
1.2316841645916408,1.2316841645916408,NA,NA,NA,Anagenesis all islands
1.2306957763166835,1.2306957763166835,NA,NA,NA,Anagenesis all islands
1.2303741584623307,1.2303741584623307,NA,NA,NA,Anagenesis all islands
1.2304084833314703,1.2304084833314703,NA,NA,NA,Anagenesis all islands
1.230262890476527,1.230262890476527,NA,NA,NA,Anagenesis all islands
1.231176901748531,1.231176901748531,NA,NA,NA,Anagenesis all islands
1.230695815704745,1.230695815704745,NA,NA,NA,Anagenesis all islands
1.2315560218068358,1.2315560218068358,NA,NA,NA,Anagenesis all islands
1.2308618421424316,1.2308618421424316,NA,NA,NA,Anagenesis all islands
1.2310131840521334,1.2310131840521334,NA,NA,NA,Anagenesis all islands
1.2312290098004897,1.2312290098004897,NA,NA,NA,Anagenesis all islands
1.2300307632633514,1.2300307632633514,NA,NA,NA,Anagenesis all islands
1.2301795306897747,1.2301795306897747,NA,NA,NA,Anagenesis all islands
1.2307756306070377,1.2307756306070377,NA,NA,NA,Anagenesis all islands
1.2306762263237108,1.2306762263237108,NA,NA,NA,Anagenesis all islands
1.2303494837133333,1.2303494837133333,NA,NA,NA,Anagenesis all islands
1.231472567604488,1.231472567604488,NA,NA,NA,Anagenesis all islands
1.2308462966300238,1.2308462966300238,NA,NA,NA,Anagenesis all islands
1.2299242365986003,1.2299242365986003,NA,NA,NA,Anagenesis all islands
1.2309833289426078,1.2309833289426078,NA,NA,NA,Anagenesis all islands
1.2312239106474436,1.2312239106474436,NA,NA,NA,Anagenesis all islands
1.2300119279368378,1.2300119279368378,NA,NA,NA,Anagenesis all islands
1.2304294825047257,1.2304294825047257,NA,NA,NA,Anagenesis all islands
1.2300716790368933,1.2300716790368933,NA,NA,NA,Anagenesis all islands
1.2309718381682404,1.2309718381682404,NA,NA,NA,Anagenesis all islands
1.22989381000901,1.22989381000901,NA,NA,NA,Anagenesis all islands
1.2311192155922217,1.2311192155922217,NA,NA,NA,Anagenesis all islands
1.2313700244008423,1.2313700244008423,NA,NA,NA,Anagenesis all islands
1.2309077752523028,1.2309077752523028,NA,NA,NA,Anagenesis all islands
1.2297846473979557,1.2297846473979557,NA,NA,NA,Anagenesis all islands
1.2307543538379775,1.2307543538379775,NA,NA,NA,Anagenesis all islands
1.2308821017882148,1.2308821017882148,NA,NA,NA,Anagenesis all islands
1.230237984875404,1.230237984875404,NA,NA,NA,Anagenesis all islands
1.2305413547901656,1.2305413547901656,NA,NA,NA,Anagenesis all islands
1.2303670795847474,1.2303670795847474,NA,NA,NA,Anagenesis all islands
1.2313188959550774,1.2313188959550774,NA,NA,NA,Anagenesis all islands
1.2313111199373408,1.2313111199373408,NA,NA,NA,Anagenesis all islands
1.2306480771779997,1.2306480771779997,NA,NA,NA,Anagenesis all islands
1.2314753888033267,1.2314753888033267,NA,NA,NA,Anagenesis all islands
1.2299932366831856,1.2299932366831856,NA,NA,NA,Anagenesis all islands
1.230341522929794,1.230341522929794,NA,NA,NA,Anagenesis all islands
1.2307740297740506,1.2307740297740506,NA,NA,NA,Anagenesis all islands
1.2304092562307127,1.2304092562307127,NA,NA,NA,Anagenesis all islands
1.2309617838012623,1.2309617838012623,NA,NA,NA,Anagenesis all islands
1.230807648406763,1.230807648406763,NA,NA,NA,Anagenesis all islands
1.2308994657374346,1.2308994657374346,NA,NA,NA,Anagenesis all islands
1.23033244562988,1.23033244562988,NA,NA,NA,Anagenesis all islands
1.23047667019868,1.23047667019868,NA,NA,NA,Anagenesis all islands
1.2310831720391195,1.2310831720391195,NA,NA,NA,Anagenesis all islands
1.2303434077565456,1.2303434077565456,NA,NA,NA,Anagenesis all islands
1.2314996112025314,1.2314996112025314,NA,NA,NA,Anagenesis all islands
1.4965863374685187,1.4965863374685187,NA,NA,NA,Anagenesis volcanic islands
1.4947985230388752,1.4947985230388752,NA,NA,NA,Anagenesis volcanic islands
1.492163490195144,1.492163490195144,NA,NA,NA,Anagenesis volcanic islands
1.4960913348693652,1.4960913348693652,NA,NA,NA,Anagenesis volcanic islands
1.4948689414710832,1.4948689414710832,NA,NA,NA,Anagenesis volcanic islands
1.4937874445346433,1.4937874445346433,NA,NA,NA,Anagenesis volcanic islands
1.4921412124456341,1.4921412124456341,NA,NA,NA,Anagenesis volcanic islands
1.4946345091147903,1.4946345091147903,NA,NA,NA,Anagenesis volcanic islands
1.499118738524682,1.499118738524682,NA,NA,NA,Anagenesis volcanic islands
1.5008156490209514,1.5008156490209514,NA,NA,NA,Anagenesis volcanic islands
1.4953696344647938,1.4953696344647938,NA,NA,NA,Anagenesis volcanic islands
1.495810360647148,1.495810360647148,NA,NA,NA,Anagenesis volcanic islands
1.491188157651305,1.491188157651305,NA,NA,NA,Anagenesis volcanic islands
