term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Fragmentation,0.122519912056343,0.061661476926813,1.98697660456242,0.0528993295011001,0.0122951712100191,0.256541851751096,Anagenesis
Fragmentation,0.123144682606891,0.061436711013149,2.0044152848699,0.0509331031626929,0.0132945688942351,0.256625843242533,Anagenesis
Fragmentation,0.12182818067325,0.0615508438588904,1.97930967368295,0.0537843079528909,0.0117805763497073,0.255586966929919,Anagenesis
Fragmentation,0.122783050216705,0.0614645576740297,1.99762358769213,0.051691230191291,0.0128867246246978,0.256337265552844,Anagenesis
Fragmentation,0.122312966050837,0.0615509884302321,1.98718118376732,0.0528758884831781,0.0122704654779999,0.256074773552568,Anagenesis
Fragmentation,0.122953418447155,0.0616971460404849,1.99285422969929,0.0522294235780463,0.0126741417437553,0.257060064935385,Anagenesis
Fragmentation,0.122171166631156,0.0615915781942619,1.98356934848827,0.0532910589555706,0.0120594987657131,0.256026987304963,Anagenesis
Fragmentation,0.124851337255157,0.0620228244105752,2.012990192589,0.0499896757207302,0.0140570157783311,0.259742413577087,Anagenesis
Fragmentation,0.121584479774936,0.0612733562468479,1.98429606638678,0.0532072994755109,0.0119904675196498,0.254680134209745,Anagenesis
Fragmentation,0.123069219541333,0.0615517148590806,1.99944420432629,0.0514870520569435,0.0130298484863333,0.256827903346168,Anagenesis
Fragmentation,0.121844053682215,0.0615575086511021,1.97935323167166,0.0537792443031017,0.0117865808003012,0.255622011811303,Anagenesis
Fragmentation,0.122109847337439,0.0615336271014905,1.98444091611952,0.0531906180808654,0.0120931501223157,0.255826314822781,Anagenesis
Fragmentation,0.12333392545416,0.0616479279212461,2.00061753270469,0.0513558355919862,0.0131453044074531,0.257337071183237,Anagenesis
Fragmentation,0.122223762229736,0.0616913129738395,1.98121512313356,0.0535631819451673,0.011951818200285,0.256327178144553,Anagenesis
Fragmentation,0.122642299584804,0.0617069895944303,1.98749445388394,0.0528400108583196,0.0123466298584523,0.256777720844955,Anagenesis
Fragmentation,0.123172648834275,0.061580992885058,2.00017315511913,0.0514054974808768,0.0130907659847611,0.257010245329078,Anagenesis
Fragmentation,0.123053502651604,0.0617208511693372,1.99371039641036,0.0521324553766777,0.0127393522908556,0.257224147881144,Anagenesis
Fragmentation,0.122444754709289,0.0616687283026436,1.98552423699064,0.0530660021189593,0.0122112764574085,0.256492947349867,Anagenesis
Fragmentation,0.121856945292776,0.0614868231356195,1.98183836923889,0.0534910250552397,0.0119144014888216,0.255462080956135,Anagenesis
Fragmentation,0.121977685050198,0.0613881752165883,1.98698991491178,0.0528978041069024,0.0122004799129178,0.255353371185173,Anagenesis
Fragmentation,0.122418419574304,0.0613439307435991,1.99560768425453,0.0519181252823093,0.0127156907096629,0.255682649466495,Anagenesis
Fragmentation,0.122418745055719,0.061581661285216,1.98790910314575,0.0527925549803518,0.0123270835875214,0.256255703089577,Anagenesis
Fragmentation,0.1233142979749,0.0615465409512643,2.00359428928015,0.0510242333367156,0.013288255822428,0.257064959818391,Anagenesis
Fragmentation,0.121992213533603,0.0616841537457719,1.97769128902032,0.0539727380041388,0.0117264270447998,0.256069693869603,Anagenesis
Fragmentation,0.123927940098767,0.0617954096144031,2.00545543547757,0.0508178490560035,0.0134991612257388,0.258276541884577,Anagenesis
Fragmentation,0.1233447832148,0.0616532428696572,2.00062117536245,0.0513554286743518,0.0131419037470209,0.25734883991575,Anagenesis
Fragmentation,0.122304963792059,0.0614324415298427,1.99088560939981,0.0524529777086836,0.0124559102588624,0.255779931684588,Anagenesis
Fragmentation,0.122009360477397,0.0615913402213933,1.98094991988854,0.0535939115442513,0.0118971115463515,0.255865236733831,Anagenesis
Fragmentation,0.122816150366027,0.0615691513170632,1.99476763507035,0.0520129286619222,0.0127488694239111,0.256623653384187,Anagenesis
Fragmentation,0.121385574379177,0.0614133302979092,1.97653463491313,0.0541077567711866,0.0115611143779332,0.254819727703538,Anagenesis
Fragmentation,0.1218109600903,0.061335006206147,1.9859940941539,0.0530120321450223,0.0121182448378674,0.255053720829519,Anagenesis
Fragmentation,0.121834281420002,0.0614895122743054,1.98138311581491,0.0535437241792557,0.0118902819724554,0.255453684201413,Anagenesis
Fragmentation,0.121960954334855,0.0618607868158301,1.97153900900021,0.0546942559692333,0.0114088232972356,0.256470025755054,Anagenesis
Fragmentation,0.121809242665915,0.0615704042287666,1.97837328163917,0.0538932636965453,0.0117292704174235,0.255616261033689,Anagenesis
Fragmentation,0.122441168804039,0.0616812208122543,1.98506396584993,0.0531189169606226,0.0121858137823705,0.256516618277635,Anagenesis
Fragmentation,0.122438265671674,0.0616957093498393,1.98455074043157,0.0531779733420393,0.0121610417352322,0.256551626425432,Anagenesis
Fragmentation,0.122254489039551,0.0615019132540759,1.9878160299582,0.0528032038397114,0.0122904673919879,0.255896169379783,Anagenesis
